Q1000070	b'Myron V. George'
Q1064445	b'Charles Frederick Scott'
Q1064487	b'Charles G. Williams'
Q1064515	b'Charles Geddes, Baron Geddes of Epsom'
Q1064666	b'Charles H. Griffin'
Q1064708	b'Charles H. Wilson'
Q1064811	b'Charles Henry Morgan'
Q1064814	b'Charles Kettle'
Q1064821	b'Charles Henry Sloan'
Q1064827	b'Tim Holt'
Q1064848	b'Charles Hillyer Brand'
Q10648	b'Gordon Brown'
Q1064937	b'Charles I. Stengle'
Q1064982	b'Charles J. Boatner'
Q1064991	b'Charles J. Gilman'
Q1065003	b'Charles J. Folger'
Q106514	b'River Phoenix'
Q1065211	b'Charles L. Faust'
Q1065248	b'Charles Laban Abernethy'
Q1065260	b'Charles La Trobe'
Q106529	b'Alain Delon'
Q10652	b'Alex Salmond'
Q1065303	b'Federico Confalonieri'
Q1065362	b'Charles Longuet'
Q1065410	b'Charles M. Teague'
Q1065458	b'Charles Murray Marling'
Q1065646	b'Charles Nicolas Fabvier'
Q1065664	b'Charles O. Lobeck'
Q1065683	b'Charles Orville Whitley'
Q1065706	b'Maria of Castile, Queen of Aragon'
Q1065710	b'Charles P. Snyder'
Q106573	b'Nathalie Baye'
Q1065770	b'Charles Phelps Taft'
Q1065799	b'Charles Pomeroy'
Q1065832	b'Charles R. Crisp'
Q1065960	b'Charles Russell Davis'
Q1065971	b'Charles S. Hartman'
Q1065975	b'Charles S. Lewis'
Q1066050	b'Sir Charles Sedley, 5th Baronet'
Q1066062	b'Charles Seymour, 6th Duke of Somerset'
Q1066155	b'Charles Stewart Voorhees'
Q106618	b'Henry Campbell-Bannerman'
Q1066198	b'Charles Sumner'
Q1066205	b'Charles T. Doxey'
Q1066206	b'Charles T. Saxton'
Q106627	b'Virna Lisi'
Q1066329	b'Charles W. Bell'
Q1066368	b'Charles W. Walton'
Q1066369	b'Charles W. Waterman'
Q1066472	b'Charles Wilson, 1st Baron Moran'
Q10664	b'Neville Chamberlain'
Q10665	b'Kim Jong-il'
Q106662	b'John Lydon'
Q1066645	b'Charles van Rooy'
Q10666	b'Scott Loach'
Q1066762	b'Charley van de Weerd'
Q106685	b'Andrzej Wajda'
Q1066958	b'Charlie Miller'
Q1067013	b'Rula Jebreal'
Q106706	b'Jeff Goldblum'
Q106743	b'Fernando Rey'
Q106747	b'Burkhard Jung'
Q106748	b'Seyran Ate\xc5\x9f'
Q1067941	b'Lucio Magri'
Q1067	b'Dante Alighieri'
Q1068403	b'Chauncey B. Little'
Q106881	b'Monica Vitti'
Q106919	b'Silvana Mangano'
Q106927	b'Mariangela Melato'
Q106940	b'Alida Valli'
Q1069511	b'Lynn Minmay'
Q106957	b'Giovanna Ralli'
Q106963	b'Abdoulaye Wade'
Q1069833	b'Pietro Paleocapa'
Q1069841	b'Ettore Perrone di San Martino'
Q1069858	b'Philippe Berthelot'
Q106988	b'Pier Angeli'
Q106997	b'Jamie Lee Curtis'
Q107006	b'Claudia Cardinale'
Q107021	b'Marco Wanderwitz'
Q107037	b'Leymah Gbowee'
Q1070671	b'Chester Bidwell Darrall'
Q1070698	b'Chester Conklin'
Q107071	b'Bartholom\xc3\xa4us Kalb'
Q1070734	b'Chester L. Mize'
Q1070753	b'Chester W. Taylor'
Q10707	b'Robert Mugabe'
Q107082	b'Mary Harris Jones'
Q1071031	b'Paolo Gentiloni'
Q1071465	b'Charles FitzRoy, 2nd Duke of Grafton'
Q1071648	b'Chiara Schoras'
Q1071694	b'Alla Demidova'
Q107176	b'Jan van Aken (politician)'
Q1071878	b'Nikolay Annenkov'
Q1072383	b'Nicola Roberts'
Q1072577	b'Stasys Gir\xc4\x97nas'
Q10725	b'Troy Deeney'
Q1072877	b'Margherita Cagol'
Q107288	b'Lili\xca\xbbuokalani'
Q10733	b'Prince Buaben'
Q107365	b'Manuel Neuer'
Q10738	b'Dwayne Johnson'
Q1075247	b'Oliver Law'
Q1075550	b'Nikolai Petrovsky'
Q107580	b'Georg Z\xc3\xbcrn'
Q107587	b'Thomas Welz'
Q107621	b'Bernhard von He\xc3\x9f'
Q1076644	b'Lucius Arruntius the Younger'
Q1077173	b'Chris Doig'
Q107726	b'Boris Palmer'
Q107730	b'Vince Vaughn'
Q107737	b'Vera Lengsfeld'
Q1077594	b'Chris Murphy'
Q107766	b'Christian Grascha'
Q107769	b'Luke Wilson'
Q1077819	b'Chris Van Hollen'
Q1077893	b'Chris van Veen'
Q1078067	b'Christa Goetsch'
Q1078099	b'Christa Krammer'
Q107830	b'Carola Bluhm'
Q1078529	b'Miyuki Hatoyama'
Q10788	b'Nathaniel Chalobah'
Q1079002	b'Christian Birch-Reichenwald'
Q1079181	b'Christian Christophersen Sehested'
Q1079307	b'Christian Ditlev Frederik Reventlow'
Q1079532	b'Christian Fouchet'
Q107957	b'Alexander Haig'
Q107983	b'Elisabeth Volkmann'
Q1080476	b'Rachel Bolan'
Q108105	b'Bruno von Warendorp'
Q1081651	b'Christian R\xc3\xa9mi Richard'
Q1081714	b'Vladimir Mashkov'
Q10819	b'Mariano Rajoy'
Q1082088	b'Carlo Vizzini'
Q108237	b'Jonatan Briel'
Q1082440	b'Christian Zetlitz Bretteville'
Q108258	b'Aloys Felke'
Q108269	b'Carsten Schatz'
Q108289	b'Doutzen Kroes'
Q108366	b'Gregory Peck'
Q108453	b'Bernhard Sch\xc3\xa4tzle'
Q108510	b'James Garner'
Q1085348	b'Christoph Kramer'
Q10858357	b'Ole O. Lian'
Q10861198	b'Carl Berner'
Q108635	b'Emma Ihrer'
Q10864	b'Karen Bardsley'
Q108650	b'Friedrich Uebelhoer'
Q1086603	b'Christopher Connelly'
Q1086648	b'Giovanni Marinelli'
Q1086964	b'Chris Shays'
Q1087551	b'Susana Gonz\xc3\xa1lez'
Q108778	b'Albert St\xc3\xb6ckl'
Q1088014	b'Tewdrig'
Q1088431	b'Rafael S\xc3\xa1nchez Guerra'
Q108857	b'Georg Thilenius'
Q108860	b'Gabriele Heinen-Kljajic'
Q108873	b'Gruschenka Stevens'
Q108879	b'Hans Georg Rupp'
Q108886	b'Harrison Schmitt'
Q1088914	b'Chrystabel Leighton-Porter'
Q1089201	b'Chuck Traynor'
Q108935	b'Mary Steenburgen'
Q108941	b'Carrie Fisher'
Q1089513	b'Jean Brooks'
Q108989	b'Tonio Selwart'
Q108997	b'Georg Kronawitter'
Q109067	b'Viktor Dyk'
Q109098	b'Katie Leung'
Q1091055	b'Ilario Bandini'
Q1091554	b'Sayaka Akimoto'
Q10916403	b'Ye Qianyu'
Q109168	b'Sylvia Bretschneider'
Q109208	b'Otto Hellmuth'
Q1092436	b'Young Man Afraid Of His Horses'
Q109324	b'Christopher Lloyd'
Q1093629	b'Joe Maddon'
Q1093695	b'Junior Stanislas'
Q1093721	b'Giuliano Gozi'
Q1093792	b'Kenneth Williams'
Q109389	b'Josef Friedrich Matthes'
Q1094126	b'Marcos Flores'
Q1094239	b'Belinda'
Q109431	b'Thomas Goppel'
Q109463	b'Richard Mentor Johnson'
Q1094726	b'Clair Armstrong Callan'
Q109477	b'Amalie Haizinger'
Q1094964	b'Paul D\xc3\xa9roul\xc3\xa8de'
Q1095314	b'Clare Magee'
Q1095364	b'Clarence B. Miller'
Q1095483	b'Clarence MacGregor'
Q109552	b'Heinrich Sudermann'
Q1095683	b'Clark Burdick'
Q1095726	b'Clark MacGregor'
Q109577	b'Christian Bernreiter'
Q1096321	b'Claude Antoine, comte Prieur-Duvernois'
Q1096496	b'Claude Bartolone'
Q1096908	b"Claude L'Engle"
Q1096967	b'Claude McKay'
Q1097318	b'Claudia Bandion-Ortner'
Q10973961	b'Riad Al Sunbati'
Q109768	b'Yoshimichi Hara'
Q1097717	b'Georges Marrane'
Q1097790	b'Ira Cohen'
Q109801	b'Roland Riese'
Q1098092	b'Claudio Martelli'
Q109824	b'Erich Hallhuber'
Q109868	b'Birgit Prinz'
Q1099210	b'Clay Stone Briggs'
Q1099261	b'Fritz R. Huitfeldt'
Q109933	b'Martin Zeil'
Q10993792	b'Sujoy Ghosh'
Q109998	b'Miriam Staudte'
Q110018	b'G\xc3\xbcnter Baumann'
Q1100238	b'Clement C. Dickinson'
Q1100531	b'Wes Hoolahan'
Q110053	b'Mats Hummels'
Q1100551	b'Dino Djulbic'
Q1100609	b'Matt Lauer'
Q1100710	b'Jay Inslee'
Q1100717	b'Cleveland A. Newton'
Q110074	b'Willy Rumpf'
Q1100770	b'Cleveland M. Bailey'
Q110116	b'Friedrich Karl Florian'
Q1101299	b'Clifford McIntire'
Q1101308	b'Clifford M. Hardin'
Q1101332	b'John Russell Bartlett'
Q1101387	b'Clifton R. Breckinridge'
Q110139	b'Carl Wallau'
Q110140	b'Angelika Brunkhorst'
Q110154	b'George Takei'
Q110163	b'Carl Blum'
Q1101641	b'Isaura Navarro'
Q1101643	b'Clint Walker'
Q1101684	b'Clinton D. McKinnon'
Q1101693	b'Clinton L. Cobb'
Q1102255	b'Gyula Justh'
Q110233	b'Tigran Sargsyan'
Q110339	b'Adalbert Probst'
Q1103441	b'Lester Holtzman'
Q1103456	b'Warren I. Lee'
Q1103503	b'Terry Yorath'
Q110374	b'Bill Paxton'
Q1103834	b'K\xc3\xa1roly Kamermayer'
Q1103926	b'Frederick W. Rowe'
Q110435	b'Ernst-Reinhard Beck'
Q110462	b'Julie Delpy'
Q110576	b'Veronika Bellmann'
Q110669	b'Jim Boeven'
Q110676	b'Hartvig Nissen'
Q110719	b'Oskar Lafontaine'
Q110734	b'Karl Ernst Rahtgens'
Q1107736	b'Jacob H. De Witt'
Q1107785	b'Fetter Schrier Hoblitzell'
Q1107855	b'Abraham J. Hasbrouck'
Q1108094	b'William Hinson Cole'
Q110864	b'Markus Blume'
Q110884	b'Alaric II'
Q1109027	b'Ludovic-Oscar Frossard'
Q110921	b'Hermann Dietrich'
Q11094653	b'Chu Yiu-ming'
Q1109829	b'Liu Mingkang'
Q1110560	b'Umm Kulthum'
Q11105	b'Elena Kagan'
Q11107	b'Sonia Sotomayor'
Q1111012	b'Nakamura Jakuemon IV'
Q1111067	b'Antonio Stefano Benni'
Q1111386	b'Robert Moses'
Q1111542	b'Joanne Woodward'
Q111160	b'Reinhard Brandl'
Q1111654	b'Savo \xc5\xa0trbac'
Q11116	b'Ruth Bader Ginsburg'
Q111187	b'Thomas Nord'
Q111263	b'Oliver Stritzel'
Q1112656	b'Peter Welch'
Q11132	b"Sandra Day O'Connor"
Q111418	b'Bj\xc3\xb6rn F\xc3\xb6rsterling'
Q111435	b'Jan-Christoph Oetjen'
Q111489	b'J\xc3\xbcrgen Hardt'
Q11153	b'John Roberts'
Q111581	b'James Maurice'
Q111583	b'James W. Covert'
Q1115890	b'Esmail Momtaz od-Dowleh'
Q111591	b'John W. Lawrence'
Q111605	b'Frederick C. Hicks'
Q111608	b'Henry Augustus Reeves'
Q111649	b'Stefan Wenzel'
Q111767	b'Hans Schaidinger'
Q111785	b'Dirk-Ulrich Mende'
Q1118376	b'Alberto Sughi'
Q1118732	b'David Allen Smalley'
Q111879	b'Friederike Kempter'
Q1118848	b'Paschal Grousset'
Q111924	b'Holger Zastrow'
Q1119350	b'Petre S. Aurelian'
Q112005	b'Georg Ritter von Sch\xc3\xb6nerer'
Q1120700	b'Orson Bean'
Q1121127	b'Tibor Krist\xc3\xb3f'
Q112112	b'Archduchess Maria Annunciata of Austria'
Q1122466	b'Julius Perathoner'
Q112256	b'Dieter M\xc3\xb6hrmann'
Q112259	b'Roland Zielke'
Q112307	b'Lena Horne'
Q1123739	b'Mih\xc3\xa1ly K\xc3\xa1thay'
Q112378	b'Erwin Kramer'
Q11237	b'Nelson Rockefeller'
Q1124488	b'Augusto Mancini'
Q112469	b'Herbard VIII von Auersperg'
Q1124	b'Bill Clinton'
Q11256	b'Fidel Castro'
Q1125970	b'Charles H. Ruggles'
Q1126413	b'Connor Jessup'
Q11267906	b'Maciej \xc5\x81opi\xc5\x84ski'
Q1126956	b'Conrad Nagel'
Q11270	b'Fulgencio Batista'
Q1127297	b'Katalin Ladik'
Q1127836	b'Constantin Dobrogeanu-Gherea'
Q112827	b'Johann Cesar VI. Godeffroy'
Q1128380	b'Lauro M\xc3\xbcller'
Q112860	b'Hans-J\xc3\xbcrgen Klein'
Q112899	b'Fernando Cardenal'
Q112949	b'Magnus Wolff Eikrem'
Q1130584	b'Gy\xc3\xb6rgy Litv\xc3\xa1n'
Q113206	b'Clark Gregg'
Q113246	b'Karim El Ahmadi'
Q1132771	b'Corin Curschellas'
Q1133170	b'Robert William Wilcox'
Q1133500	b'Cornelis Bicker'
Q1133564	b'Cornelis Hooft'
Q113359	b'Tulsi Chakraborty'
Q1133601	b'Cornelis Speelman'
Q11336378	b'Hayley Turner'
Q113384	b'Dean Ambrose'
Q11339606	b'Mike E. Smith'
Q113450	b'Homer Hoch'
Q1134596	b'Joe Saunders'
Q113489	b'Ingeburg Lange'
Q1135245	b'Seig\xc5\x8d Nakano'
Q113527	b'Heide Schmidt'
Q113537	b'Halvdan Sivertsen'
Q1135767	b'Cory Booker'
Q1135774	b'Cory Gardner'
Q113584	b'Grand Duchess Olga Nikolaevna of Russia'
Q113592	b'Josef P\xc3\xbchringer'
Q113652	b'Richard Frey'
Q113695	b'Leopoldine Konstantin'
Q1137861	b'Courtney W. Hamlin'
Q113799	b'Oliver Stokowski'
Q113818	b'Nikolaus Dumba'
Q1138235	b'Kris Jenner'
Q11384609	b'Saganohana Katsumi'
Q113851	b'J\xc3\xb6rn Wunderlich'
Q11385547	b'Ikuko Yoda'
Q1138576	b'Craig L. Thomas'
Q113871	b'Sibyll-Anka Klotz'
Q113914	b'Ferdinand von Sammern-Frankenegg'
Q11391	b'Ultraviolet'
Q113941	b'Maurice Duplessis'
Q11395799	b'Dewaminato Rikichi'
Q113997	b'Kurt Kasznar'
Q1140273	b'Cristian Baroni'
Q1140914	b'Soon-Yi Previn'
Q114119	b'Mihael Miki\xc4\x87'
Q1141294	b'Nino Martini'
Q1141798	b'Y\xc5\x8dko Nagayama'
Q114191	b'Willem Jozef Andreas Jonckbloet'
Q1142551	b'James Strang'
Q114322	b'Dana Perino'
Q1143627	b'Lance Hoyt'
Q1143975	b'Cormac mac Cuilenn\xc3\xa1in'
Q1145579	b'Curtis H. Castle'
Q114558	b'Ida W\xc3\xbcst'
Q1145703	b'Natasha Hovey'
Q11459	b'Serena Williams'
Q1148090	b'Cynthia Lynn'
Q1148489	b'Cyrenus Cole'
Q114859	b'Lo\xc3\xafc R\xc3\xa9my'
Q1148937	b'Iwan Rheon'
Q1149033	b'T\xc3\xb5nis Lukas'
Q1149737	b'Manuel de Pando, 6th Marquis of Miraflores'
Q114974	b'Friedrich Westmeyer'
Q1149	b'Indira Gandhi'
Q1150071	b'Horace B. Strait'
Q1150547	b'Darren McGavin'
Q1150699	b'C\xc3\xa9sar De Paepe'
Q11509	b'Xanana Gusm\xc3\xa3o'
Q115103	b'Johann Heinrich Gossler'
Q1151173	b'Horace Mann'
Q115119	b'Julen Lopetegui'
Q1151944	b'Mary-Kate Olsen'
Q115201	b'Liya Kebede'
Q1152252	b'Francesco Giunta'
Q115250	b'Lesley-Anne Down'
Q1152666	b'Yukio Ozaki'
Q1152832	b'Louis Thomas Villaret de Joyeuse'
Q1153004	b'Gordon MacRae'
Q1153161	b'Sue Randall'
Q1153370	b'Brian McKnight'
Q115347	b'Lex Luger'
Q1153582	b'Georgy Vitsin'
Q1153907	b'Larry Langford'
Q115400	b'Christian Baldauf'
Q1154179	b'Naoto Takenaka'
Q1154210	b'Tomomi Itano'
Q1154232	b'Atsuko Maeda'
Q1154290	b'Giuseppina Grassini'
Q115453	b'Ivan Rakiti\xc4\x87'
Q115477	b'Louise Mountbatten'
Q115540	b'Jean-Pascal Delamuraz'
Q115541	b'Dakota Fanning'
Q115548	b'Hans-Peter Tschudi'
Q115559	b'Arnold Koller'
Q115569	b'Alfred Escher'
Q1155868	b'Kurt Vieweg'
